"tissue","gsmid"
"blood","GSM2363655"
"blood","GSM2465258"
"blood","GSM2814369"
"blood","GSM2363592"
"blood","GSM1616987"
"blood","GSM2333940"
"blood","GSM1848002"
"blood","GSM2363888"
"blood","GSM2363572"
"blood","GSM2337622"
"blood","GSM3440345"
"blood","GSM2334416"
"blood","GSM3045515"
"blood","GSM2090020"
"blood","GSM2796295"
"blood","GSM2334598"
"blood","GSM2815498"
"blood","GSM3080998"
"blood","GSM2337285"
"blood","GSM3035601"
"blood","GSM3026734"
"blood","GSM2089927"
"blood","GSM3035931"
"blood","GSM1425758"
"blood","GSM2337598"
"blood","GSM3026776"
"blood","GSM2738283"
"blood","GSM2815616"
"blood","GSM2334245"
"blood","GSM2515116"
"blood","GSM2815571"
"blood","GSM2363684"
"blood","GSM2337557"
"blood","GSM2865175"
"blood","GSM2260533"
"blood","GSM1920441"
"blood","GSM2337551"
"blood","GSM3035683"
"blood","GSM3440422"
"blood","GSM3440381"
"blood","GSM2656332"
"blood","GSM2089952"
"blood","GSM2337431"
"blood","GSM3035401"
"blood","GSM3440706"
"blood","GSM2814937"
"blood","GSM2337381"
"blood","GSM2815460"
"blood","GSM3440677"
"blood","GSM2814236"
"blood","GSM2363685"
"blood","GSM2865087"
"blood","GSM2465263"
"blood","GSM1649814"
"blood","GSM2562776"
"blood","GSM2334556"
"blood","GSM2814962"
"blood","GSM1832669"
"blood","GSM3035869"
"blood","GSM1954511"
"blood","GSM2260577"
"blood","GSM2814289"
"blood","GSM2814159"
"blood","GSM2334369"
"blood","GSM3035476"
"blood","GSM2334202"
"blood","GSM2260655"
"blood","GSM2334510"
"blood","GSM3380773"
"blood","GSM3035852"
"blood","GSM2814262"
"blood","GSM2334142"
"blood","GSM1338119"
"blood","GSM2090049"
"blood","GSM2815466"
"blood","GSM2337346"
"blood","GSM3440326"
"blood","GSM2363598"
"blood","GSM2334482"
"blood","GSM2334423"
"blood","GSM2363850"
"blood","GSM2738191"
"blood","GSM2337585"
"blood","GSM2260643"
"blood","GSM2815010"
"blood","GSM3035554"
"blood","GSM1506324"
"blood","GSM2814268"
"blood","GSM2337260"
"blood","GSM2562779"
"blood","GSM1622776"
"blood","GSM2465267"
"blood","GSM2337502"
"blood","GSM2814474"
"blood","GSM2814215"
"blood","GSM2867811"
"blood","GSM2334189"
"blood","GSM2363607"
"blood","GSM3440313"
"blood","GSM2337550"
"blood","GSM2648836"
"blood","GSM2815060"
"blood","GSM2815658"
"blood","GSM2815183"
"blood","GSM2089994"
"blood","GSM2260622"
"blood","GSM2337419"
"blood","GSM2738159"
"blood","GSM2814572"
"blood","GSM2814080"
"blood","GSM3035635"
"blood","GSM2334611"
"blood","GSM1506401"
"blood","GSM3440587"
"blood","GSM2815475"
"blood","GSM1649796"
"blood","GSM2814120"
"blood","GSM2815102"
"blood","GSM2877340"
"blood","GSM2796268"
"blood","GSM2796286"
"blood","GSM3440732"
"blood","GSM2814633"
"blood","GSM2267992"
"blood","GSM2686834"
"blood","GSM1920451"
"blood","GSM3035836"
"blood","GSM2656383"
"blood","GSM1425547"
"blood","GSM2363699"
"blood","GSM2334398"
"blood","GSM2815028"
"blood","GSM2333919"
"blood","GSM2865083"
"blood","GSM2656388"
"blood","GSM1920428"
"blood","GSM2562701"
"blood","GSM2334135"
"blood","GSM3440718"
"blood","GSM1705073"
"blood","GSM2814656"
"blood","GSM3440781"
"blood","GSM2333991"
"blood","GSM2334562"
"blood","GSM2334237"
"blood","GSM2815458"
"blood","GSM2127922"
"blood","GSM2815444"
"blood","GSM3380794"
"blood","GSM3440355"
"blood","GSM3035835"
"blood","GSM3035771"
"blood","GSM3440542"
"blood","GSM3026722"
"blood","GSM2562876"
"blood","GSM1506462"
"blood","GSM1338106"
"blood","GSM1649759"
"blood","GSM3035756"
"blood","GSM2796276"
"blood","GSM3035480"
"blood","GSM3026696"
"blood","GSM2334550"
"blood","GSM3440550"
"blood","GSM2656406"
"blood","GSM2260644"
"blood","GSM1425535"
"blood","GSM2334315"
"blood","GSM1425585"
"blood","GSM2260561"
"blood","GSM2260523"
"blood","GSM2334352"
"blood","GSM3440473"
"blood","GSM3380775"
"blood","GSM2770871"
"blood","GSM2814857"
"blood","GSM2260684"
"blood","GSM2867898"
"blood","GSM3440452"
"blood","GSM2363897"
"blood","GSM2465246"
"blood","GSM3026789"
"blood","GSM2334118"
