cgid,chr,pos,strand,Type,Islands_Name,Relation_to_Island,UCSC_RefGene_Name,UCSC_RefGene_Accession,UCSC_RefGene_Group
cg00002116,chr17,79670410,-,I,chr17:79669571-79670811,Island,MRPL12;MRPL12,NM_002949;NM_002949,5'UTR;1stExon
cg00003202,chr1,151319512,-,I,chr1:151319326-151319545,Island,RFX5;RFX5,NM_000449;NM_001025603,5'UTR;5'UTR
cg00013993,chr19,7533810,-,I,chr19:7531810-7532669,S_Shore,ARHGEF18;ARHGEF18,NM_015318;NM_001130955,Body;Body
cg00016406,chr14,104643443,-,I,chr14:104643173-104644203,Island,KIF26A,NM_015656,Body
cg00018024,chr10,134600848,-,I,chr10:134597357-134602649,Island,NKX6-2,NM_177400,TSS1500
cg00020297,chr6,17600383,+,I,chr6:17600382-17601397,Island,FAM8A1,NM_016255,TSS200
cg00021128,chr17,4871207,+,I,chr17:4870189-4871710,Island,SPAG7,NM_004890,TSS200
cg00021945,chr19,52430920,+,I,,OpenSea,ZNF613;ZNF613,NM_001031721;NM_024840,5'UTR;5'UTR
cg00026853,chr16,30934156,-,I,chr16:30933637-30935774,Island,NCRNA00095,NR_024348,Body
cg00027037,chr18,21977708,+,I,chr18:21977275-21978110,Island,OSBPL1A;OSBPL1A,NM_080597;NM_080597,1stExon;5'UTR
cg00028757,chr6,31848498,-,I,,OpenSea,EHMT2;EHMT2,NM_006709;NM_025256,Body;Body
cg00031456,chr1,109234919,-,I,chr1:109234788-109235161,Island,PRPF38B,NM_018061,TSS200
cg00036386,chr2,74691992,-,I,chr2:74691959-74692657,Island,MOGS;MOGS,NM_001146158;NM_006302,Body;Body
cg00042335,chr10,70587154,-,I,chr10:70586917-70588209,Island,STOX1;STOX1;STOX1;STOX1;STOX1,NM_001130161;NM_152709;NM_001130159;NM_001130160;NM_001130162,TSS200;TSS200;TSS200;TSS200;TSS1500
cg00063567,chr2,54014461,+,I,chr2:54013801-54014498,Island,ERLEC1;LOC100302652;ASB3;ASB3;ERLEC1;ERLEC1,NM_001127397;NM_001164165;NM_016115;NM_145863;NM_015701;NM_001127398,1stExon;Body;TSS1500;TSS1500;1stExon;1stExon
cg00067574,chr2,46770281,+,I,chr2:46770149-46770370,Island,RHOQ,NM_012249,1stExon
cg00087195,chr5,7869293,-,I,chr5:7868863-7869840,Island,MTRR;MTRR;FASTKD3;MTRR,NM_002454;NM_002454;NM_024091;NM_024010,1stExon;5'UTR;TSS200;1stExon
cg00088227,chr7,127225777,-,I,chr7:127225200-127225950,Island,GCC1,NM_024523,TSS200
cg00090103,chr1,155920763,+,I,chr1:155920651-155920898,Island,ARHGEF2;ARHGEF2;ARHGEF2,NM_004723;NM_001162383;NM_001162384,Body;Body;Body
cg00090731,chr4,26862057,-,II,chr4:26862031-26863238,Island,STIM2;STIM2;STIM2,NM_001169118;NM_001169117;NM_020860,TSS1500;TSS1500;TSS1500
cg00091162,chr1,167906284,-,I,chr1:167905027-167906801,Island,BRP44;DCAF6;BRP44;BRP44;DCAF6,NR_026550;NM_018442;NM_001143674;NM_015415;NM_001017977,TSS1500;Body;TSS200;TSS1500;Body
cg00095027,chr7,87563525,+,I,chr7:87563342-87564571,Island,ADAM22;ADAM22;ADAM22;ADAM22;ADAM22,NM_016351;NM_021721;NM_021722;NM_021723;NM_004194,TSS200;TSS200;TSS200;TSS200;TSS200
cg00098239,chr19,7599173,-,II,chr19:7598413-7601008,Island,PNPLA6;PNPLA6;PNPLA6;PNPLA6;PNPLA6;PNPLA6,NM_001166114;NM_006702;NM_001166111;NM_001166112;NM_001166112;NM_001166113,TSS1500;5'UTR;TSS1500;5'UTR;1stExon;TSS1500
cg00105470,chr1,228290868,+,I,chr1:228289669-228291184,Island,C1orf35,NM_024319,1stExon
cg00106446,chr1,247242130,+,I,chr1:247241579-247242201,Island,ZNF670,NM_033213,TSS200
