"tissue","cgid","median","mean","var","sd","chr","pos","strand","Type","Islands_Name","Relation_to_Island","UCSC_RefGene_Name","UCSC_RefGene_Accession","UCSC_RefGene_Group"
"adipose","cg00149537",0.753,0.756,0.008,0.087,"chr1",9409810,"-","I","","OpenSea","SPSB1","NM_025106","5'UTR"
"adipose","cg01413848",0.862,0.851,0.007,0.081,"chr1",3081226,"-","I","chr1:3080934-3081292","Island","PRDM16;PRDM16","NM_022114;NM_199454","Body;Body"
"adipose","cg01772149",0.602,0.619,0.017,0.129,"chr1",3038216,"-","I","chr1:3038067-3038343","Island","PRDM16;PRDM16","NM_022114;NM_199454","Body;Body"
"adipose","cg10096873",0.123,0.152,0.007,0.084,"chr1",92546470,"+","I","chr1:92545819-92546480","Island","BTBD8","NM_183242","Body"
"adipose","cg10622019",0.732,0.729,0.009,0.092,"chr1",4221485,"-","I","chr1:4221387-4221672","Island","","",""
"adipose","cg10703826",0.256,0.265,0.008,0.089,"chr1",119532116,"+","I","chr1:119531991-119532196","Island","TBX15;TBX15","NM_152380;NM_152380","1stExon;5'UTR"
"adipose","cg14038482",0.772,0.775,0.008,0.089,"chr1",8384484,"+","I","chr1:8384387-8384719","Island","SLC45A1","NM_001080397","1stExon"
"adipose","cg15930240",0.575,0.571,0.011,0.105,"chr1",153749015,"-","I","chr1:153747655-153748698","S_Shore","SLC27A3","NM_024330","Body"
"adipose","cg18273417",0.316,0.307,0.007,0.081,"chr1",153518418,"-","I","","OpenSea","S100A4;S100A4","NM_019554;NM_002961","TSS200;TSS200"
"adipose","cg18533397",0.157,0.179,0.007,0.086,"chr1",110186005,"-","I","chr1:110185961-110186164","Island","","",""
"adipose","cg19025786",0.737,0.738,0.012,0.108,"chr1",2206662,"-","I","","OpenSea","SKI","NM_003036","Body"
"adipose","cg19924619",0.202,0.211,0.006,0.08,"chr1",165323692,"-","I","chr1:165323486-165323811","Island","LMX1A","NM_177398","Body"
"adipose","cg20163085",0.728,0.732,0.011,0.103,"chr1",10510396,"-","I","","OpenSea","CORT;APITD1","NM_001302;NM_198544","Body;Body"
"adipose","cg23677911",0.729,0.722,0.009,0.093,"chr1",230256394,"-","I","","OpenSea","GALNT2","NM_004481","Body"
"adipose","cg23848152",0.766,0.756,0.009,0.094,"chr1",145211389,"+","I","chr1:145208944-145210075","S_Shore","NOTCH2NL","NM_203458","5'UTR"
"adipose","cg24434800",0.408,0.402,0.008,0.087,"chr1",119542295,"-","I","chr1:119543056-119543454","N_Shore","","",""
"adipose","cg25340966",0.252,0.264,0.01,0.102,"chr1",119532195,"-","I","chr1:119531991-119532196","Island","TBX15","NM_152380","TSS200"
"adipose","cg25362585",0.625,0.637,0.018,0.135,"chr1",3320431,"+","I","chr1:3321269-3322310","N_Shore","PRDM16;PRDM16","NM_022114;NM_199454","Body;Body"
"adipose","cg25407979",0.358,0.365,0.013,0.115,"chr1",204256846,"+","I","","OpenSea","PLEKHA6","NM_014935","5'UTR"
"adipose","cg00035316",0.24,0.254,0.008,0.087,"chr2",176993017,"+","I","chr2:176992950-176993186","Island","HOXD8","NM_019558","TSS1500"
"adipose","cg02565132",0.83,0.82,0.007,0.085,"chr2",109559473,"-","I","chr2:109558965-109559186","S_Shore","EDAR","NM_022336","5'UTR"
"adipose","cg04316624",0.47,0.465,0.008,0.092,"chr2",177036809,"+","I","chr2:177036254-177037213","Island","HOXD3","NM_006898","Body"
"adipose","cg04688351",0.128,0.146,0.007,0.083,"chr2",223154140,"-","I","chr2:223155726-223156154","N_Shore","PAX3;PAX3;PAX3;PAX3;PAX3;PAX3","NM_181458;NM_181461;NM_181459;NM_181460;NM_181457;NM_001127366","Body;Body;Body;Body;Body;Body"
"adipose","cg05669418",0.346,0.358,0.011,0.104,"chr2",177022962,"-","I","chr2:177024501-177025692","N_Shore","","",""
"adipose","cg05864326",0.586,0.573,0.018,0.136,"chr2",177030150,"-","I","chr2:177029413-177029941","S_Shore","HOXD3","NM_006898","5'UTR"
"adipose","cg07873325",0.759,0.765,0.007,0.085,"chr2",88355771,"+","I","chr2:88354840-88355574","S_Shore","KRCC1","NM_016618","TSS1500"
"adipose","cg08079908",0.228,0.244,0.007,0.082,"chr2",176997277,"+","I","chr2:176993479-176995557","S_Shore","","",""
"adipose","cg08781325",0.067,0.096,0.008,0.088,"chr2",26521777,"-","I","","OpenSea","","",""
"adipose","cg08980304",0.62,0.626,0.01,0.097,"chr2",3697378,"+","I","chr2:3698659-3698875","N_Shore","","",""
"adipose","cg09385093",0.228,0.251,0.01,0.099,"chr2",119607885,"+","I","chr2:119607378-119607910","Island","","",""
"adipose","cg10393811",0.421,0.427,0.009,0.094,"chr2",176983927,"+","I","chr2:176982107-176982402","S_Shore","HOXD10","NM_002148","Body"
"adipose","cg11597131",0.33,0.347,0.01,0.1,"chr2",176988939,"-","I","chr2:176989337-176989587","N_Shore","HOXD9","NM_014213","3'UTR"
"adipose","cg13407169",0.558,0.57,0.009,0.096,"chr2",74731413,"-","I","chr2:74729399-74731166","S_Shore","LOC151534;LBX2","NR_024606;NM_001009812","Body;TSS1500"
"adipose","cg14252236",0.678,0.682,0.011,0.107,"chr2",143784002,"-","I","","OpenSea","KYNU","NM_003937","Body"
"adipose","cg15100426",0.239,0.246,0.008,0.087,"chr2",219187432,"+","I","chr2:219187653-219188251","N_Shore","PNKD;PNKD","NM_022572;NM_015488","TSS1500;Body"
"adipose","cg16326123",0.817,0.815,0.008,0.089,"chr2",240015886,"-","I","","OpenSea","HDAC4","NM_006037","Body"
"adipose","cg19308375",0.374,0.381,0.01,0.099,"chr2",228324937,"-","I","","OpenSea","","",""
"adipose","cg20389472",0.092,0.117,0.007,0.084,"chr2",171568526,"+","I","chr2:171568322-171568867","Island","","",""
"adipose","cg25849196",0.314,0.312,0.007,0.083,"chr2",175198280,"+","I","chr2:175199463-175202639","N_Shore","","",""
"adipose","cg26381970",0.827,0.819,0.007,0.081,"chr2",241326952,"-","I","","OpenSea","","",""
"adipose","cg26425256",0.25,0.26,0.007,0.085,"chr2",119611362,"+","I","chr2:119611296-119611881","Island","","",""
"adipose","cg26990102",0.268,0.285,0.011,0.105,"chr2",119606746,"-","I","chr2:119606569-119606826","Island","EN1","NM_001426","TSS1500"
"adipose","cg27169860",0.475,0.504,0.016,0.125,"chr2",66218712,"+","I","","OpenSea","","",""
"adipose","cg02524983",0.447,0.462,0.023,0.15,"chr3",188012918,"+","I","","OpenSea","LPP;LPP;LPP","NM_001167672;NM_001167671;NM_005578","5'UTR;5'UTR;5'UTR"
"adipose","cg03387092",0.662,0.673,0.011,0.106,"chr3",123493248,"-","I","","OpenSea","MYLK;MYLK;MYLK;MYLK","NM_053028;NM_053025;NM_053027;NM_053026","Body;Body;Body;Body"
"adipose","cg04246526",0.661,0.664,0.013,0.112,"chr3",43033200,"-","I","","OpenSea","FAM198A","NM_001129908","Body"
"adipose","cg08986653",0.124,0.153,0.009,0.097,"chr3",40498475,"+","I","chr3:40498639-40499260","N_Shore","RPL14;RPL14","NM_001034996;NM_003973","TSS1500;TSS1500"
"adipose","cg09677287",0.783,0.783,0.007,0.085,"chr3",42815903,"+","I","chr3:42814567-42814893","S_Shore","CCDC13","NM_144719","TSS1500"
"adipose","cg12120750",0.195,0.216,0.008,0.091,"chr3",11592700,"+","I","","OpenSea","ATG7;ATG7;ATG7","NM_001136031;NM_001144912;NM_006395","Body;Body;Body"
"adipose","cg14975798",0.651,0.644,0.01,0.098,"chr3",111835839,"+","I","","OpenSea","C3orf52","NM_024616","3'UTR"
"adipose","cg15431659",0.455,0.459,0.011,0.104,"chr3",194901357,"+","I","","OpenSea","C3orf21","NM_152531","Body"
"adipose","cg16705744",0.401,0.39,0.009,0.096,"chr3",27756039,"+","I","chr3:27756212-27756422","N_Shore","","",""
"adipose","cg18337363",0.562,0.565,0.01,0.1,"chr3",52569053,"-","I","chr3:52570475-52570842","N_Shore","NT5DC2;NT5DC2;NT5DC2","NM_022908;NM_022908;NM_001134231","5'UTR;1stExon;TSS1500"
"adipose","cg20299697",0.677,0.687,0.009,0.096,"chr3",138069423,"+","I","chr3:138066795-138067854","S_Shore","MRAS;MRAS","NM_012219;NM_001085049","5'UTR;5'UTR"
"adipose","cg20743134",0.39,0.408,0.016,0.125,"chr3",69061356,"+","I","chr3:69062159-69063190","N_Shore","C3orf64","NM_173654","5'UTR"
"adipose","cg21107573",0.517,0.527,0.015,0.121,"chr3",64384431,"-","I","","OpenSea","","",""
"adipose","cg22122410",0.178,0.202,0.01,0.098,"chr3",128212269,"+","I","chr3:128205495-128212274","Island","GATA2","NM_032638","TSS1500"
"adipose","cg25336332",0.208,0.218,0.01,0.101,"chr3",24537309,"+","I","chr3:24535844-24537436","Island","THRB;THRB;THRB","NM_001128177;NM_001128176;NM_000461","TSS1500;TSS1500;TSS1500"
"adipose","cg26263234",0.179,0.196,0.008,0.09,"chr3",26666060,"-","I","chr3:26665950-26666164","Island","LRRC3B","NM_052953","5'UTR"
"adipose","cg26436136",0.622,0.621,0.009,0.095,"chr3",182970675,"+","I","chr3:182971429-182972635","N_Shore","MCF2L2;B3GNT5","NM_015078;NM_032047","Body;TSS1500"
"adipose","cg01462545",0.256,0.267,0.009,0.096,"chr4",42401242,"-","I","chr4:42399152-42400802","S_Shore","SHISA3","NM_001080505","Body"
"adipose","cg02725370",0.193,0.222,0.012,0.109,"chr4",111551829,"-","I","chr4:111553079-111554210","N_Shore","PITX2;PITX2","NM_153426;NM_153427","Body;Body"
"adipose","cg05551114",0.607,0.611,0.014,0.119,"chr4",15376116,"+","I","","OpenSea","C1QTNF7;C1QTNF7","NM_001135170;NM_001135171","Body;TSS200"
"adipose","cg07658508",0.411,0.414,0.017,0.13,"chr4",973177,"-","I","","OpenSea","SLC26A1","NM_134425","3'UTR"
"adipose","cg11566394",0.33,0.344,0.013,0.112,"chr4",4856709,"+","I","chr4:4858389-4858893","N_Shore","","",""
"adipose","cg12999318",0.761,0.762,0.01,0.101,"chr4",85490817,"+","I","","OpenSea","","",""
"adipose","cg14872952",0.408,0.407,0.011,0.105,"chr4",4867164,"-","I","chr4:4867386-4867673","N_Shore","","",""
"adipose","cg00129563",0.283,0.296,0.012,0.109,"chr5",122434853,"+","I","chr5:122433878-122435551","Island","PRDM6","NM_001136239","Body"
"adipose","cg01196322",0.377,0.381,0.009,0.095,"chr5",122435202,"+","I","chr5:122433878-122435551","Island","PRDM6","NM_001136239","Body"
"adipose","cg07459121",0.721,0.718,0.013,0.116,"chr5",1092793,"-","I","chr5:1093579-1093837","N_Shore","SLC12A7","NM_006598","Body"
"adipose","cg11329449",0.85,0.832,0.007,0.083,"chr5",171765986,"-","I","chr5:171766422-171766826","N_Shore","SH3PXD2B","NM_001017995","Body"
"adipose","cg11791960",0.586,0.592,0.011,0.106,"chr5",178667819,"+","I","","OpenSea","ADAMTS2;ADAMTS2","NM_021599;NM_014244","Body;Body"
"adipose","cg12887985",0.367,0.364,0.011,0.103,"chr5",43020716,"-","I","chr5:43017968-43018668","S_Shelf","","",""
"adipose","cg13276570",0.826,0.812,0.009,0.096,"chr5",10567643,"-","I","chr5:10562816-10565680","S_Shore","ANKRD33B","NM_001164440","Body"
"adipose","cg15831743",0.22,0.241,0.007,0.083,"chr5",122421924,"-","I","chr5:122424337-122424539","N_Shelf","","",""
"adipose","cg18440230",0.499,0.511,0.014,0.12,"chr5",172305889,"+","I","","OpenSea","ERGIC1","NM_001031711","Body"
"adipose","cg18745317",0.719,0.719,0.008,0.087,"chr5",81063103,"+","I","","OpenSea","","",""
"adipose","cg21046148",0.154,0.18,0.007,0.082,"chr5",72731905,"-","I","chr5:72731821-72732061","Island","","",""
"adipose","cg23491790",0.83,0.821,0.007,0.085,"chr5",1053774,"-","I","chr5:1053544-1053807","Island","SLC12A7","NM_006598","Body"
"adipose","cg01784721",0.591,0.625,0.01,0.1,"chr6",119402498,"+","I","chr6:119399091-119400223","S_Shelf","FAM184A","NM_001100411","5'UTR"
"adipose","cg06122871",0.496,0.487,0.009,0.093,"chr6",85476210,"-","I","chr6:85472702-85474132","S_Shelf","","",""
"adipose","cg09319194",0.05,0.075,0.007,0.082,"chr6",122793185,"-","I","chr6:122792758-122793091","S_Shore","PKIB;PKIB;SERINC1","NM_181794;NM_181794;NM_020755","1stExon;5'UTR;TSS1500"
"adipose","cg09676575",0.694,0.71,0.009,0.093,"chr6",153003705,"+","I","","OpenSea","","",""
"adipose","cg11797364",0.7,0.699,0.012,0.109,"chr6",436969,"-","I","","OpenSea","","",""
"adipose","cg13394216",0.622,0.64,0.012,0.109,"chr6",1635808,"-","I","","OpenSea","GMDS","NM_001500","Body"
"adipose","cg13567392",0.737,0.742,0.008,0.089,"chr6",105726132,"+","I","","OpenSea","PREP","NM_002726","Body"
"adipose","cg15977685",0.658,0.651,0.009,0.095,"chr6",168743593,"-","I","","OpenSea","","",""
"adipose","cg16323293",0.528,0.523,0.014,0.12,"chr6",163612985,"+","I","","OpenSea","PACRG;PACRG;PACRG","NM_152410;NM_001080378;NM_001080379","Body;Body;Body"
"adipose","cg18932158",0.655,0.677,0.009,0.092,"chr6",33248279,"-","I","chr6:33244677-33245554","S_Shelf","WDR46;WDR46","NM_005452;NM_001164267","Body;Body"
"adipose","cg21493786",0.766,0.786,0.008,0.091,"chr6",21709793,"+","I","","OpenSea","FLJ22536","NR_015410","Body"
"adipose","cg23271099",0.671,0.675,0.012,0.111,"chr6",43149472,"-","I","chr6:43149736-43150009","N_Shore","CUL9","NM_015089","TSS1500"
"adipose","cg23776522",0.822,0.82,0.008,0.088,"chr6",32010333,"-","I","","OpenSea","TNXB;TNXB","NM_032470;NM_019105","Body;Body"
"adipose","cg03834767",0.661,0.648,0.012,0.11,"chr7",90794392,"+","I","","OpenSea","CDK14","NM_012395","3'UTR"
"adipose","cg05342467",0.702,0.719,0.011,0.107,"chr7",2029732,"+","I","chr7:2029116-2029326","S_Shore","MAD1L1;MAD1L1;MAD1L1","NM_003550;NM_001013837;NM_001013836","Body;Body;Body"
"adipose","cg07180538",0.654,0.66,0.011,0.106,"chr7",4786899,"-","I","chr7:4786761-4786987","Island","FOXK1","NM_001037165","Body"
"adipose","cg08613122",0.588,0.588,0.009,0.095,"chr7",597568,"-","I","chr7:599089-599327","N_Shore","PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B","NM_001164759;NM_001164762;NM_001164758;NM_001164760;NM_001164761;NM_002735","Body;Body;Body;Body;Body;Body"
"adipose","cg09159452",0.55,0.552,0.01,0.1,"chr7",2609861,"-","I","","OpenSea","IQCE;IQCE","NM_001100390;NM_152558","Body;Body"
"adipose","cg09630706",0.646,0.664,0.012,0.108,"chr7",229695,"-","I","chr7:231272-231539","N_Shore","FAM20C","NM_020223","Body"
"adipose","cg09883849",0.573,0.587,0.01,0.099,"chr7",12510863,"+","I","","OpenSea","","",""
"adipose","cg10030512",0.786,0.785,0.011,0.104,"chr7",2656424,"-","I","","OpenSea","","",""
"adipose","cg10532908",0.701,0.699,0.011,0.106,"chr7",142555548,"+","I","chr7:142551879-142553186","S_Shelf","EPHB6","NM_004445","5'UTR"
"adipose","cg10678266",0.261,0.268,0.007,0.083,"chr7",24614348,"+","I","","OpenSea","MPP6","NM_016447","5'UTR"
